1,rz,1,99613
2,tm3,1,87642
3,vwp,1,26700
4,vwid3,1,56937
5,vwg,1,33659
6,hk,1,48537
7,aet,1,33463
8,nl,1,31791
9,p208,1,31554
10,kn,1,30690
11,ma250,1,29436
12,mglc,1,21286
13,sft,1,19537
14,vxc40,1,28254
15,vxc60,1,24785
16,mo,1,27387
17,b330,1,26180
18,bi,1,22849
19,fk,1,22849
20,vwu,1,21942
21,rz,2,47343
22,tm3,2,80630
23,vwp,2,33800
24,vwid3,2,56937
25,vwg,2,28765
26,hk,2,22680
27,aet,2,18386
28,nl,2,31116
29,p208,2,31554
30,kn,2,11119
31,ma250,2,29436
32,mglc,2,21286
33,sft,2,11840
34,vxc40,2,28254
35,vxc60,2,14409
36,mo,2,34668
37,b330,2,10186
38,bi,2,31734
39,fk,2,22849
40,vwu,2,21942
